sample_id,raw_start,raw_end,window_id,source_node,target_node,active,focal_prediction_delta_abs,paired_effect_mean
0,11424,11615,0,0,2,True,0.0024643850047141314,0.00013708991173189133
71,11495,11686,0,0,2,False,0.0,0.0
143,11567,11758,0,0,2,True,0.0026536781806498766,-0.00017172830121126026
214,11638,11829,0,0,2,False,0.0,0.0
286,11710,11901,0,0,2,True,0.0028430107049643993,0.0002931581257143989
357,11781,11972,0,0,2,True,0.0009487434290349483,0.00033177988734678365
428,11852,12043,0,0,2,True,0.0030298475176095963,-0.0002270164550282061
500,11924,12115,0,0,2,True,0.0022336156107485294,-0.0001734076504362747
571,11995,12186,0,0,2,False,0.0,0.0
642,12066,12257,0,0,2,True,0.0014225214254111052,-0.00011344626545906067
714,12138,12329,0,0,2,False,0.0,0.0
785,12209,12400,0,0,2,True,0.0027781063690781593,-0.0013983342214487493
857,12281,12472,0,0,2,True,0.0005527534522116184,-0.00018622061543283053
928,12352,12543,0,0,2,True,0.007038085721433163,0.002949867252027616
999,12423,12614,0,0,2,True,0.0029122079722583294,0.00026582756254356354
1071,12495,12686,0,0,2,False,0.0,0.0
1142,12566,12757,0,0,2,True,0.003907639533281326,0.00011923638521693647
1214,12638,12829,0,0,2,False,0.0,0.0
1285,12709,12900,0,0,2,True,0.0015349584864452481,-0.0005725558148697019
1356,12780,12971,0,0,2,True,0.0016594817861914635,-0.0003310825486551039
1428,12852,13043,0,0,2,True,0.004381755832582712,-0.0004607437876984477
1499,12923,13114,0,0,2,True,0.004794128704816103,-0.00025737532996572554
1570,12994,13185,0,0,2,False,0.0,0.0
1642,13066,13257,0,0,2,True,0.0016095757018774748,-9.671266161603853e-05
1713,13137,13328,0,0,2,False,0.0,0.0
1785,13209,13400,0,0,2,True,0.00198203488253057,0.0004743710669572465
1856,13280,13471,0,0,2,True,0.000870682648383081,-0.0006034692487446591
1927,13351,13542,0,0,2,True,0.0039008264429867268,0.0012799707619706169
1999,13423,13614,0,0,2,True,0.004092774353921413,5.050322215538472e-05
2070,13494,13685,0,0,2,False,0.0,0.0
2142,13566,13757,0,0,2,True,0.0016710758209228516,-0.00023646561021450907
2213,13637,13828,0,0,2,False,0.0,0.0
2284,13708,13899,0,0,2,True,0.003238741075620055,0.0007336586058954708
2356,13780,13971,0,0,2,True,0.0013938455376774073,0.0005602084274869412
2427,13851,14042,0,0,2,True,0.00106718298047781,-0.0019319276616442949
2498,13922,14113,0,0,2,True,0.003056959016248584,0.0005830705777043477
2570,13994,14185,0,0,2,False,0.0,0.0
2641,14065,14256,0,0,2,True,0.00394072663038969,0.0007785772904753685
2713,14137,14328,0,0,2,False,0.0,0.0
2784,14208,14399,0,0,2,True,0.005568875931203365,0.0022752600634703413
0,11424,11615,0,0,4,True,0.0014207070926204324,-0.00103704773937352
71,11495,11686,0,0,4,False,0.0,0.0
143,11567,11758,0,0,4,True,0.0010534565662965178,-0.001971977617358789
214,11638,11829,0,0,4,False,0.0,0.0
286,11710,11901,0,0,4,True,0.0010776089038699865,-0.0016929189005168155
357,11781,11972,0,0,4,True,0.00037904182681813836,-0.0003091344151471276
428,11852,12043,0,0,4,True,0.0009783093119040132,-0.002534996936446987
500,11924,12115,0,0,4,True,0.001023516757413745,-0.0015347688604379073
571,11995,12186,0,0,4,False,0.0,0.0
642,12066,12257,0,0,4,True,0.0006385720334947109,-0.0009953893313650042
714,12138,12329,0,0,4,False,0.0,0.0
